control,StartDate,EndDate,Duration,RecordedDate,ResponseId,Prolific ID,avg_learn_art,Consent_3,Age,Gender,Ethnicity,Education,Income,avg_learn_phil,accuracy_pre,accuracy_post,confi_trial_pre,confi_trial_post,happy_pre_1,understanding_pre_1,Q1_pre,Q1_confi_pre_1,attention_slider_1_1,Q2_pre,Q2_confi_pre_1,Q3_pre,Q3_confi_pre_1,Q4_pre,Q4_confi_pre_1,Q5_pre,Q5_confi_pre_1,Q6_pre,Q6_confi_pre_1,Q7_pre,Q7_confi_pre_1,Q8_pre,Q8_confi_pre_1,Q9_pre,Q9_confi_pre_1,Q10_pre,Q10_confi_pre_1,confidence_1_1,Q1_post,Q1_confi_1,Q1_learn_1,Q2_post,Q2_confi_1,Q2_learn_1,Q3_post,Q3_confi_1,Q3_learn_1,Q4_post,Q4_confi_1,Q4_learn_1,Q5_post,Q5_confi_1,Q5_learn_1,Q6_post,Q6_confi_1,Q6_learn_1,Q7_post,Q7_confi_1,Q7_learn_1,Q8_post,Q8_confi_1,Q8_learn_1,Q9_post,Q9_confi_1,Q9_learn_1,Q10_post,Q10_confi_1,attention_slider_2_1,Q10_learn_1,Confidence_2_1,happy_post_1,understanding_post_1,attention_slider_3_1,Q279,Q280,Q281,condition
noai,2026-02-03 11:15:29,2026-02-03 11:22:39,430,2026-02-03 11:22:40,R_8cA0X3AaNOXvaMh,5f7248a45a717f16c09d1dec,65,4,27,2,1,4,4,62.2,0.5,0.4,9.4,47.4,76,53,3,0,100,2,0,1,48,2,15,1,0,3,0,3,31,1,0,1,0,3,0,10,3,63,100,1,81,58,2,86,57,1,10,52,1,75,46,3,10,28,2,70,100,2,55,84,1,0,38,3,24,0,59,30,83,9,50,,Perceived knowledge vs actual and how that impacts desire to learn more about subjects,No,control
ai,2025-11-12 05:54:42,2025-11-12 06:14:50,1208,2025-11-12 06:14:51,R_2zJlSQybDtnYRiN,65e4a6bdde84e615dcac2651,0,4,32,2,1,3,3,0,0.6,0.5,6,24.8,77,15,2,0,100,3,0,1,47,1,0,3,0,1,0,3,4,1,0,2,9,1,0,31,3,0,0,3,0,0,1,52,0,3,78,0,1,0,0,1,0,0,3,19,0,1,49,0,1,50,0,2,0,0,0,21,79,3,50,"It's made me realise how complicated philosophy is, which I didn't realise before.",Memory around retaining new information,None,sycophantic
ai,2025-11-12 06:04:59,2025-11-12 06:16:01,662,2025-11-12 06:16:02,R_8Hql6em8acqTsyr,67efcad870129b5d1f122c8d,0,4,56,1,1,5,4,0,0.2,0.3,0,0,90,27,4,0,100,3,0,3,0,3,0,2,0,2,0,3,0,2,0,3,0,1,0,31,1,0,0,1,0,0,2,0,0,1,0,0,2,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,31,87,3,51,"Honestly, I'm not very interested in philosophy so the AI didnt really interest me.",AI text,,sycophantic
ai,2025-11-12 05:50:20,2025-11-12 06:30:09,2388,2025-11-12 06:30:09,R_28P8vOnb4i5vw4b,66a807a37c3608e587480d4f,0,4,30,1,1,3,2,0,0.6,0.7,0,0,49,37,3,0,100,1,0,1,0,2,0,1,0,1,0,3,0,1,0,2,0,1,0,21,1,0,0,1,0,0,3,0,0,3,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,11,0,13,51,It was encouraging,How AI feedback affects my confidence in answering questions,No,sycophantic
ai,2025-11-12 06:19:57,2025-11-12 06:47:02,1625,2025-11-12 06:47:03,R_1lYvtKam2Os5KIJ,67e1fa87e8aa9b415b7efafa,0,4,65,2,1,5,5,0,0.6,0.5,0,34.7,100,53,3,0,100,3,0,1,0,1,0,2,0,1,0,3,0,1,0,2,0,3,0,41,1,45,0,3,48,0,1,51,0,1,52,0,3,49,0,1,0,0,2,50,0,1,52,0,3,0,0,2,0,0,0,51,100,50,50,helping me gain a little more understanding of philosophy,human response to AI helping an individual learn more about something,interesting study . . .and I learned a few things!,sycophantic
ai,2025-11-14 15:49:22,2025-11-14 16:01:36,733,2025-11-14 16:01:36,R_5MqoNkhKqsP6NjP,63ea547c9873e55d6bed4864,0,4,26,2,4,4,5,0,0.3,0.6,20.8,5.5,100,27,3,74,100,2,0,2,0,2,20,1,51,3,28,3,35,1,0,2,0,3,0,21,2,7,0,1,11,0,2,0,0,1,0,0,1,0,0,1,11,0,2,26,0,2,0,0,1,0,0,1,0,0,0,11,59,1,50,no,see about how people felt about philosophy,,sycophantic
ai,2025-11-15 04:38:23,2025-11-15 05:01:11,1367,2025-11-15 05:01:11,R_2jYSA6aLQLgtIiS,5ff07751f4e233420c6fe50f,5,4,34,2,1,4,1,1.1,0.2,0.1,6.1,3.3,39,35,2,58,100,2,0,2,0,1,3,2,0,3,0,3,0,1,0,3,0,2,0,11,3,9,5,3,0,0,3,0,0,3,13,0,3,3,2,1,3,4,2,0,0,2,0,0,3,3,0,2,2,0,0,11,31,28,47,no,memory,no,sycophantic
ai,2025-11-14 15:28:22,2025-11-14 15:45:50,1047,2025-11-14 15:45:50,R_8F51zsDKrfu06TP,673ca7a510453b9c34c700d2,0,4,57,2,1,2,7,3.1,0.3,0.2,0,0,84,0,2,0,100,3,0,1,0,2,0,3,0,2,0,3,0,3,0,1,0,2,0,31,3,0,31,2,0,0,3,0,0,3,0,0,1,0,0,3,0,0,3,0,0,1,0,0,3,0,0,3,0,0,0,1,67,0,46,It hasnt influenced me at all,ai,,sycophantic
ai,2025-11-15 04:43:54,2025-11-15 04:58:29,874,2025-11-15 04:58:30,R_21BQHVeqGjvHjkC,5f58f4c7cb024e0c3caee284,14,4,25,2,1,4,4,7.7,0.5,0.3,2.6,3.6,7,5,4,13,100,3,0,2,0,1,13,2,0,1,0,1,0,2,0,1,0,2,0,21,2,0,0,1,0,0,1,0,0,2,0,6,3,0,22,2,0,4,3,12,7,2,8,20,2,16,0,1,0,0,18,11,40,4,50,It made me believe more in myself,Memory??,,sycophantic
ai,2025-11-15 04:37:35,2025-11-15 05:10:42,1986,2025-11-15 05:10:42,R_8AXp4LEFcRxyqGy,6661c9ae13d2c1b196d73a43,0,4,63,1,1,3,2,8.9,0.5,0.6,18.5,21.2,82,12,2,23,100,1,12,1,46,1,16,2,16,3,8,2,20,1,6,1,10,1,28,21,1,14,23,1,22,9,1,51,7,3,23,5,2,8,9,3,7,4,2,30,9,1,12,3,1,15,12,1,30,11,8,11,82,15,50,Having little knowledge of philosophy the AI feedback influenced me greatly,If we could gain knowledge and if we believed what the AI was telling us,,sycophantic
